3-Way,BTTS,DC
"[6.0, 4.4, 1.6]","[1.85, 1.96]","['2.47', '1.18', '1.26']"
"[5.2, 5.0, 1.42]","[1.38, 2.6]","['2.19', '1.12', '1.13']"
"[1.56, 3.85, 5.2]","[1.93, 1.72]","['1.14', '2.04', '1.20']"
"[1.41, 3.95, 7.8]","[2.6, 1.4]","['1.08', '2.33', '1.18']"
"[3.65, 3.7, 1.87]","[1.57, 2.21]","['1.78', '1.25', '1.25']"
"[1.5, 4.3, 5.6]","[1.9, 1.78]","['1.14', '2.26', '1.19']"
"[1.06, 9.4, 21.0]","[2.55, 1.4]","['-', '-', '-']"
"[1.52, 3.9, 6.0]","[2.16, 1.59]","['1.13', '2.22', '1.22']"
"[3.6, 4.7, 1.64]","[1.23, 3.35]","['1.84', '1.21', '1.15']"
"[2.8, 3.4, 2.34]","[1.6, 2.15]","['1.52', '1.38', '1.29']"
