3-Way,BTTS,DC
"['5.39', '4.05', '1.62']","['1.85', '1.85']","['2.28', '1.16', '1.23']"
"['1.52', '4.33', '6.15']","['1.85', '1.86']","['1.14', '2.48', '1.21']"
"['1.72', '3.60', '5.20']","['2.02', '1.71']","['1.18', '2.06', '1.29']"
"['5.40', '5.00', '1.35']","['1.38', '2.65']","['2.27', '1.10', '1.11']"
"['4.70', '4.90', '1.42']","['1.30', '3.00']","['2.12', '1.13', '1.12']"
"['3.05', '3.05', '2.15']","['1.66', '2.01']","['1.48', '1.27', '1.27']"
"['1.64', '4.40', '3.55']","['1.20', '3.75']","['1.21', '1.81', '1.15']"
"['2.24', '3.05', '2.90']","['1.99', '1.68']","['1.29', '1.45', '1.27']"
"['1.53', '4.40', '6.00']","['1.95', '1.83']",['']
"['2.09', '3.10', '3.15']","['1.66', '2.01']","['1.26', '1.51', '1.26']"
"['1.55', '3.65', '5.00']","['1.91', '1.73']","['1.13', '1.92', '1.19']"
"['4.20', '2.95', '1.85']","['2.29', '1.51']","['1.63', '1.17', '1.28']"
"['1.42', '3.65', '7.00']","['2.55', '1.42']","['1.08', '2.12', '1.18']"
"['2.45', '2.65', '3.00']","['2.41', '1.46']","['1.28', '1.39', '1.34']"
"['3.30', '3.35', '1.92']","['1.53', '2.24']","['1.59', '1.23', '1.23']"
"['1.96', '2.80', '3.90']","['2.30', '1.50']","['1.19', '1.57', '1.30']"
"['2.00', '3.25', '3.20']","['1.59', '2.12']","['1.25', '1.55', '1.25']"
"['2.31', '3.00', '2.80']","['1.87', '1.77']","['1.31', '1.42', '1.28']"
"['1.54', '3.60', '6.20']","['2.22', '1.49']","['1.12', '2.19', '1.24']"
"['2.55', '3.65', '2.22']","['1.34', '2.80']","['1.45', '1.36', '1.21']"
"['1.15', '6.00', '11.00']","['1.93', '1.72']","['1.03', '3.00', '1.06']"
"['1.98', '3.05', '3.50']","['2.09', '1.61']","['1.22', '1.56', '1.27']"
"['1.69', '3.40', '4.30']","['2.03', '1.65']","['1.16', '1.76', '1.22']"
"['1.05', '8.60', '19.00']","['2.55', '1.41']",['']
"['1.53', '3.55', '5.40']","['2.09', '1.61']","['1.12', '1.94', '1.19']"
"['2.26', '2.90', '3.00']","['1.94', '1.71']","['1.28', '1.44', '1.29']"
"['2.48', '3.20', '2.48']","['1.59', '2.13']","['1.38', '1.38', '1.26']"
"['1.85', '3.05', '4.00']","['2.08', '1.62']","['1.18', '1.63', '1.26']"
"['3.15', '3.10', '2.09']","['1.72', '1.92']","['1.51', '1.26', '1.27']"
"['2.70', '2.95', '2.70']","['2.05', '1.63']","['1.38', '1.38', '1.33']"
"['2.43', '2.65', '3.05']","['2.25', '1.53']","['1.27', '1.39', '1.34']"
"['1.80', '3.40', '3.70']","['1.71', '1.94']","['1.20', '1.67', '1.22']"
"['12.00', '6.80', '1.12']","['1.95', '1.71']","['3.15', '1.02', '1.05']"
"['2.08', '2.95', '3.70']","['2.00', '1.61']","['1.25', '1.64', '1.35']"
"['7.20', '4.10', '1.42']","['2.14', '1.53']","['2.46', '1.10', '1.20']"
"['1.82', '3.80', '3.25']","['1.40', '2.60']","['1.24', '1.65', '1.19']"
"['2.13', '2.75', '3.50']","['2.30', '1.50']","['1.22', '1.49', '1.32']"
"['2.35', '3.65', '2.38']","['1.35', '2.80']","['1.40', '1.41', '1.21']"
"['2.00', '3.60', '2.90']","['1.41', '2.55']","['1.29', '1.55', '1.21']"
"['1.59', '4.00', '4.20']","['1.51', '2.29']","['1.16', '1.87', '1.17']"
"['1.29', '6.11', '11.45']","['2.04', '1.67']","['1.06', '3.55', '1.12']"
"['1.46', '4.30', '7.40']","['2.16', '1.62']","['1.11', '2.55', '1.22']"
"['4.30', '3.70', '1.83']","['1.95', '1.76']","['1.92', '1.23', '1.29']"
"['2.25', '3.20', '3.10']","['1.77', '1.87']","['1.31', '1.51', '1.29']"
"['2.46', '3.50', '2.55']","['1.53', '2.24']","['1.41', '1.44', '1.26']"
"['1.72', '3.10', '4.60']","['2.13', '1.59']","['1.15', '1.73', '1.25']"
"['1.37', '3.95', '7.40']","['2.30', '1.50']","['1.07', '2.23', '1.15']"
"['4.30', '3.95', '1.57']","['1.73', '1.92']","['1.89', '1.15', '1.17']"
"['1.65', '3.20', '5.00']","['2.28', '1.51']","['1.13', '1.80', '1.23']"
"['2.08', '2.85', '3.45']","['2.04', '1.64']","['1.23', '1.51', '1.29']"
